Country,2020,2019,2018,2017,2016,2015,2014
belarus,0,0.88,5.64,4.59,10.58,11.97,16.22
brazil,0,0.32,3.75,2.95,6.29,10.67,6.41
canada,0,0,1.99,1.87,1.5,1.61,1.47
european-union,0,1.57,1.63,1.64,1.14,0.18,-0.08
eurozone,0,1.33,1.52,1.34,1.1,0.25,-0.17
france,0,-0.47,1.59,1.19,0.61,0.18,0.06
germany,0,0,1.72,1.65,1.68,0.28,0.19
greece,0,-1.77,0.56,0.65,0.02,-0.17,-2.61
india,0,0,5.24,4,2.23,6.32,5.86
japan,0,0.79,0.3,1.1,0.3,0.1,2.36
kazakhstan,0,0.5,5.43,7.22,8.29,13.53,7.54
mexico,0,0,1.66,6.77,3.36,2.13,4.08
russia,4.05,3.05,4.27,2.52,5.38,12.91,11.36
spain,0,-1.28,1.18,1.11,1.57,0.02,-1.04
turkey,0,1.06,20.3,11.92,8.53,8.81,8.17
ukraine,0,4.05,9.78,13.67,12.36,43.31,24.87
united-kingdom,0,0,2.1,2.94,1.6,0.2,0.5
united-states,0,2.28,1.91,2.11,2.07,0.73,0.76
